threshold,accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,specificity
0.3,0.35,0.2777777777777778,1.0,0.43478260869565216,10,65,0,25,0.13333333333333333
0.35,0.36,0.27586206896551724,0.96,0.42857142857142855,12,63,1,24,0.16
0.4,0.38,0.26582278481012656,0.84,0.40384615384615385,17,58,4,21,0.22666666666666666
0.45,0.44,0.2876712328767123,0.84,0.42857142857142855,23,52,4,21,0.30666666666666664
0.5,0.5,0.31343283582089554,0.84,0.45652173913043476,29,46,4,21,0.38666666666666666
