feature_subset,n_features,auroc,accuracy,precision,recall,f1,auroc_cv_mean,auroc_cv_std,accuracy_cv_mean,accuracy_cv_std,precision_cv_mean,precision_cv_std,recall_cv_mean,recall_cv_std,f1_cv_mean,f1_cv_std
Naive-Only,4,0.616943866943867,0.62,0.8,0.6486486486486487,0.7164179104477612,0.6698530458804431,0.03238096209530212,0.632,0.048166378315169185,0.8390229774756085,0.017033228266624362,0.6206960385042577,0.07464275512519751,0.7114827740254686,0.05070270490101706
Semantic-Only,3,0.6377338877338877,0.65,0.8095238095238095,0.6891891891891891,0.7445255474452555,0.673134594025005,0.05297969673113045,0.6639999999999999,0.03130495168499704,0.8673284710361594,0.028781499444250312,0.6447611995557201,0.05813899886340583,0.7378822009993848,0.03520007462485258
Context-Only,21,0.5441787941787942,0.64,0.796875,0.6891891891891891,0.7391304347826086,0.5256976681634217,0.055007816457566173,0.602,0.033466401061363005,0.7489411992903414,0.025159004747052193,0.693891151425398,0.03785003509362145,0.719901447551811,0.025643551647287946
Semantic+Context,24,0.6294178794178795,0.65,0.7910447761194029,0.7162162162162162,0.75177304964539,0.6946732559746258,0.04872571188949871,0.6839999999999999,0.03507135583350034,0.8038764166228386,0.016686686587480973,0.7562384302110329,0.04299717645123429,0.7789689963717582,0.028258481681227146
Full,41,0.6320166320166319,0.69,0.7866666666666666,0.7972972972972973,0.7919463087248322,0.6769076241678981,0.05891699698603137,0.696,0.0634822809924155,0.8004050259348381,0.036679055764444225,0.7834505738615327,0.06698605591825556,0.7911055786836765,0.04690213861796859
