feature_subset,n_features,auroc,accuracy,precision,recall,f1,auroc_cv_mean,auroc_cv_std,accuracy_cv_mean,accuracy_cv_std,precision_cv_mean,precision_cv_std,recall_cv_mean,recall_cv_std,f1_cv_mean,f1_cv_std
Naive-Only,4,0.5,0.6759259259259259,0.0,0.0,0.0,0.5,0.0,0.7103465851172273,0.0035826229126654395,0.0,0.0,0.0,0.0,0.0,0.0
Semantic-Only,3,0.7215264187866928,0.7870370370370371,0.7,0.6,0.6461538461538462,0.7218867825722665,0.04888752608369023,0.8118756371049949,0.03801796970559891,0.7291429987082161,0.09535054107069385,0.5675403225806451,0.0598505145516024,0.6367189570833032,0.06690614854178097
Context-Only,21,0.5698630136986302,0.5833333333333334,0.3611111111111111,0.37142857142857144,0.36619718309859156,0.5082478005865102,0.035973519360863015,0.5977913693510024,0.02192162986714447,0.310334625052367,0.03676057858286968,0.3185483870967742,0.045603082807530324,0.31411240853863803,0.03948374432318233
Semantic+Context,24,0.7616438356164383,0.7222222222222222,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7416396103896105,0.0516792724117316,0.7693849813115868,0.055003099428895176,0.6120081699346406,0.10848642074643611,0.5862903225806451,0.0903402425488072,0.5963515086608308,0.08856591935124027
Full,41,0.7972602739726027,0.8055555555555556,0.7333333333333333,0.6285714285714286,0.676923076923077,0.7495574989526604,0.054891241154918315,0.7878185524974517,0.041899379509003305,0.655222959948597,0.08255184642226938,0.5864919354838709,0.07694510954527546,0.6156057057696401,0.06616787828583708
