feature_subset,n_features,auroc,accuracy,precision,recall,f1,auroc_cv_mean,auroc_cv_std,accuracy_cv_mean,accuracy_cv_std,precision_cv_mean,precision_cv_std,recall_cv_mean,recall_cv_std,f1_cv_mean,f1_cv_std
Naive-Only,4,0.7054924242424242,0.75,0.8987341772151899,0.8068181818181818,0.8502994011976048,0.641463708705088,0.027223345167397228,0.718,0.040865633483405106,0.9071307227944058,0.01395613135048251,0.7561389759665622,0.04888374144398137,0.8241203320961326,0.03024317022282088
Semantic-Only,3,0.5402462121212122,0.73,0.8860759493670886,0.7954545454545454,0.8383233532934131,0.5574197713206334,0.10350149421658045,0.6459999999999999,0.06268971207462991,0.8847015889159291,0.03070765819117633,0.6881922675026124,0.08525873999214734,0.7712861628725014,0.050889816724950195
Context-Only,21,0.5918560606060607,0.73,0.8765432098765432,0.8068181818181818,0.8402366863905325,0.5815823185435255,0.07547553352955474,0.728,0.038340579025361664,0.8842606327257491,0.01383206429805291,0.7951671891327063,0.05801096687193649,0.8361805897213731,0.02792547863079821
Semantic+Context,24,0.6903409090909092,0.82,0.9166666666666666,0.875,0.8953488372093024,0.6281327867534764,0.061203908132788615,0.786,0.04560701700396551,0.898998036583268,0.012794039595458736,0.8519853709508881,0.05066290983191571,0.8743053577026532,0.029917214469286506
Full,41,0.7026515151515151,0.81,0.8876404494382022,0.8977272727272727,0.8926553672316384,0.6129415842777911,0.06383664202376896,0.808,0.038987177379235835,0.890862977865216,0.014175966949721687,0.8905956112852664,0.048836306092893765,0.8901282610152744,0.024999215745212706
