feature_subset,n_features,auroc,accuracy,precision,recall,f1,auroc_cv_mean,auroc_cv_std,accuracy_cv_mean,accuracy_cv_std,precision_cv_mean,precision_cv_std,recall_cv_mean,recall_cv_std,f1_cv_mean,f1_cv_std
Naive-Only,4,0.4732,0.49,0.4909090909090909,0.54,0.5142857142857142,0.45878935574229696,0.049383278896378766,0.462,0.04494441010848847,0.45109404704944894,0.052196604316145624,0.4478367346938776,0.12002686080048634,0.44686116096690653,0.0857095763498753
Semantic-Only,3,0.5462,0.53,0.5306122448979592,0.52,0.5252525252525253,0.5244864345738296,0.06167742790081597,0.518,0.049193495504995396,0.5115900026109896,0.05289991996619964,0.46783673469387754,0.10480318119617353,0.4868795325751673,0.07787321363809543
Context-Only,24,0.6592,0.59,0.5818181818181818,0.64,0.6095238095238096,0.6032522448979591,0.04711311421616398,0.5740000000000001,0.01949358868961789,0.5717116217116217,0.020490536308348187,0.5644897959183673,0.08655948690358119,0.5653226980197014,0.04636356257495978
Semantic+Context,27,0.6284,0.59,0.5849056603773585,0.62,0.6019417475728155,0.6291385034013606,0.042081901935379334,0.598,0.03420526275297417,0.5964570948177506,0.04491029655637341,0.6048979591836735,0.057253537126853785,0.5984113536416593,0.028944315606067632
Full,48,0.6192,0.6,0.5892857142857143,0.66,0.6226415094339622,0.6330584393757503,0.04271662776678246,0.6060000000000001,0.060663003552412414,0.6050376652333174,0.06282796675411507,0.5965714285714286,0.05471260721035969,0.6005934163138941,0.05782363381302666
