feature_subset,n_features,auroc,accuracy,precision,recall,f1,auroc_cv_mean,auroc_cv_std,accuracy_cv_mean,accuracy_cv_std,precision_cv_mean,precision_cv_std,recall_cv_mean,recall_cv_std,f1_cv_mean,f1_cv_std
Naive-Only,4,0.5141333333333333,0.59,0.19230769230769232,0.2,0.19607843137254902,0.5212800000000001,0.06484728041928804,0.5960000000000001,0.04219004621945798,0.22499821746880572,0.0743744961156225,0.256,0.09208691546577072,0.2383146575746648,0.08055374432565358
Semantic-Only,3,0.5810666666666667,0.55,0.3,0.6,0.4,0.55888,0.0339591388452521,0.6020000000000001,0.04919349550499537,0.3005261953786319,0.033183283279637606,0.44000000000000006,0.1019803902718557,0.3536796536796537,0.04528286481653287
Context-Only,21,0.5791999999999999,0.66,0.3548387096774194,0.44,0.39285714285714285,0.57856,0.05911152547891525,0.6439999999999999,0.03646916505762093,0.3134671322265381,0.06741586396335034,0.368,0.11454256850621082,0.33701576234933606,0.08691655792824336
Semantic+Context,24,0.6810666666666667,0.73,0.46153846153846156,0.48,0.47058823529411764,0.6548266666666666,0.04617015871269616,0.7060000000000001,0.04159326868617083,0.41089955022488756,0.08989633502255112,0.42400000000000004,0.12521980673998823,0.41471695110792856,0.10277513009449996
Full,41,0.6714666666666667,0.74,0.47368421052631576,0.36,0.4090909090909091,0.65888,0.04735357313750341,0.7340000000000001,0.030495901363953838,0.4649384825700616,0.07283350924387305,0.392,0.052153619241621194,0.424643749126371,0.05755586590471105
