feature_subset,n_features,auroc,accuracy,precision,recall,f1,auroc_cv_mean,auroc_cv_std,accuracy_cv_mean,accuracy_cv_std,precision_cv_mean,precision_cv_std,recall_cv_mean,recall_cv_std,f1_cv_mean,f1_cv_std,domain
Naive-Only,4,0.5141333333333333,0.59,0.1923076923076923,0.2,0.196078431372549,0.5212800000000001,0.064847280419288,0.5960000000000001,0.0421900462194579,0.2249982174688057,0.0743744961156225,0.256,0.0920869154657707,0.2383146575746648,0.0805537443256535,psychology
Semantic-Only,3,0.5810666666666667,0.55,0.3,0.6,0.4,0.55888,0.0339591388452521,0.6020000000000001,0.0491934955049953,0.3005261953786319,0.0331832832796376,0.44,0.1019803902718557,0.3536796536796537,0.0452828648165328,psychology
Context-Only,21,0.5791999999999999,0.66,0.3548387096774194,0.44,0.3928571428571428,0.57856,0.0591115254789152,0.6439999999999999,0.0364691650576209,0.3134671322265381,0.0674158639633503,0.368,0.1145425685062108,0.337015762349336,0.0869165579282433,psychology
Semantic+Context,24,0.6810666666666667,0.73,0.4615384615384615,0.48,0.4705882352941176,0.6548266666666666,0.0461701587126961,0.7060000000000001,0.0415932686861708,0.4108995502248875,0.0898963350225511,0.424,0.1252198067399882,0.4147169511079285,0.1027751300944999,psychology
Full,41,0.6714666666666667,0.74,0.4736842105263157,0.36,0.4090909090909091,0.65888,0.0473535731375034,0.7340000000000001,0.0304959013639538,0.4649384825700616,0.072833509243873,0.392,0.0521536192416211,0.424643749126371,0.057555865904711,psychology
Naive-Only,4,0.4732,0.49,0.4909090909090909,0.54,0.5142857142857142,0.4587893557422969,0.0493832788963787,0.462,0.0449444101084884,0.4510940470494489,0.0521966043161456,0.4478367346938776,0.1200268608004863,0.4468611609669065,0.0857095763498753,medicine
Semantic-Only,3,0.5462,0.53,0.5306122448979592,0.52,0.5252525252525253,0.5244864345738296,0.0616774279008159,0.518,0.0491934955049953,0.5115900026109896,0.0528999199661996,0.4678367346938775,0.1048031811961735,0.4868795325751673,0.0778732136380954,medicine
Context-Only,24,0.6592,0.59,0.5818181818181818,0.64,0.6095238095238096,0.6032522448979591,0.0471131142161639,0.5740000000000001,0.0194935886896178,0.5717116217116217,0.0204905363083481,0.5644897959183673,0.0865594869035811,0.5653226980197014,0.0463635625749597,medicine
Semantic+Context,27,0.6284,0.59,0.5849056603773585,0.62,0.6019417475728155,0.6291385034013606,0.0420819019353793,0.598,0.0342052627529741,0.5964570948177506,0.0449102965563734,0.6048979591836735,0.0572535371268537,0.5984113536416593,0.0289443156060676,medicine
Full,48,0.6192,0.6,0.5892857142857143,0.66,0.6226415094339622,0.6330584393757503,0.0427166277667824,0.6060000000000001,0.0606630035524124,0.6050376652333174,0.062827966754115,0.5965714285714286,0.0547126072103596,0.6005934163138941,0.0578236338130266,medicine
Naive-Only,4,0.616943866943867,0.62,0.8,0.6486486486486487,0.7164179104477612,0.6698530458804431,0.0323809620953021,0.632,0.0481663783151691,0.8390229774756085,0.0170332282666243,0.6206960385042577,0.0746427551251975,0.7114827740254686,0.050702704901017,finance
Semantic-Only,3,0.6377338877338877,0.65,0.8095238095238095,0.6891891891891891,0.7445255474452555,0.673134594025005,0.0529796967311304,0.6639999999999999,0.031304951684997,0.8673284710361594,0.0287814994442503,0.6447611995557201,0.0581389988634058,0.7378822009993848,0.0352000746248525,finance
Context-Only,21,0.5441787941787942,0.64,0.796875,0.6891891891891891,0.7391304347826086,0.5256976681634217,0.0550078164575661,0.602,0.033466401061363,0.7489411992903414,0.0251590047470521,0.693891151425398,0.0378500350936214,0.719901447551811,0.0256435516472879,finance
Semantic+Context,24,0.6294178794178795,0.65,0.7910447761194029,0.7162162162162162,0.75177304964539,0.6946732559746258,0.0487257118894987,0.6839999999999999,0.0350713558335003,0.8038764166228386,0.0166866865874809,0.7562384302110329,0.0429971764512342,0.7789689963717582,0.0282584816812271,finance
Full,41,0.6320166320166319,0.69,0.7866666666666666,0.7972972972972973,0.7919463087248322,0.6769076241678981,0.0589169969860313,0.696,0.0634822809924155,0.8004050259348381,0.0366790557644442,0.7834505738615327,0.0669860559182555,0.7911055786836765,0.0469021386179685,finance
