feature_subset,n_domains,n_features,auroc_mean,auroc_std,auroc_min,auroc_max,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_cv_avg,auroc_cv_std_avg,accuracy_cv_avg,accuracy_cv_std_avg,precision_cv_avg,precision_cv_std_avg,recall_cv_avg,recall_cv_std_avg,f1_cv_avg,f1_cv_std_avg
Full,5,41,0.6845190175614833,0.0711210530943357,0.6192,0.7972602739726027,0.7291111111111112,0.08761377083259332,0.6941220748500465,0.1636573402673799,0.6687191997191997,0.20369857444691034,0.6786514342808838,0.1833278399035933,0.66626902935482,0.052563072369190535,0.7263637104994903,0.08048116550821532,0.6832934223104059,0.1668764828987528,0.6498219098404198,0.19309779371905153,0.6644153421817712,0.18093007863380675
Semantic+Context,5,24,0.6781738581583787,0.054722538832787646,0.6284,0.7616438356164383,0.7024444444444444,0.08712627419051606,0.6651168272260921,0.18424890879779915,0.6525289575289575,0.15079048257999528,0.6582160882300394,0.1664991977113177,0.669682164637148,0.04845939984752738,0.7086769962623174,0.07504969072375968,0.6644478536366771,0.1911239901027637,0.6446824165852478,0.16516085170802733,0.652550833496966,0.17875333836995277
Semantic-Only,5,3,0.6053546370616919,0.07561842092588011,0.5402462121212122,0.7215264187866928,0.6494074074074074,0.11132990803237275,0.6452424007577715,0.234691266342677,0.6409287469287469,0.10509683532495269,0.630851054429008,0.1736692828973916,0.6071615164983469,0.08537395512391419,0.648375127420999,0.10739008431142287,0.6586578513299852,0.24974716712737935,0.561666104866571,0.10788276369161202,0.5972893014420021,0.17545080968873555
Context-Only,5,21,0.588859573696697,0.04303284565427292,0.5441787941787942,0.6592,0.6406666666666666,0.05960052199622265,0.5942372424966511,0.2411288056740666,0.5894871884871884,0.18001442562227316,0.5895890513305371,0.208681352493398,0.5594680064382833,0.04041828729127153,0.6291582738702004,0.06073272053410666,0.5657430422013234,0.25686924615444445,0.5480193047146492,0.2047533892380982,0.5545065812361718,0.23016532743278392
Naive-Only,5,4,0.5619539249039249,0.09699168971221014,0.4732,0.7054924242424242,0.6251851851851852,0.09707378439059748,0.47639019208639455,0.3843692982575497,0.43909336609336613,0.3313931679931334,0.4554162914607258,0.3543233864057044,0.5582772220655656,0.0922388484007696,0.6236693170234455,0.10414315388595119,0.4844491929576538,0.3897116367683022,0.4161343498329395,0.2988580258992129,0.44415578493263447,0.33744963559737834
