test,p_value_raw,p_value_bonferroni,p_value_fdr,significant_bonferroni,significant_fdr,bonferroni_alpha
RQ1 (Hybrid vs Naive),0.08744010254009404,0.26232030762028213,0.13116015381014107,False,False,0.016666666666666666
RQ2 (Semantic vs Naive),0.2616594412763828,0.7849783238291483,0.2616594412763828,False,False,0.016666666666666666
RQ3a (Chi-square rates),1.0491162636568459e-131,3.147348790970538e-131,3.147348790970538e-131,True,True,0.016666666666666666
